"David Bowie","1947-1-8"," singer and Actor"
"Thomas Warton","1728-1-9"," poet laureate of England (Pleasures of Melancholy)"
"Carrie Lane Chapman Catt","1859-1-9"," founder of League of Women Voters"
"Joseph B Strauss","1870-1-9"," civil engineer & builder of Golden Gate Bridge"
"Gracie Fields","1898-1-9","Gracie Fields"
"Chic Young","1901-1-9"," creator of "Blondie" comic strip"
"Rudolph Bing","1902-1-9"," opera manager"
"George Balanchine","1904-1-9"," dancer-choreographer"
"Simone de Beauvoir","1908-1-9"," French author (The Mandarins and The Second Sex)"
"Richard Milhous Nixon","1913-1-9"," (R) and 36th pres (1968-74) (I am not a crook!)"
"Gypsy Rose Lee","1914-1-9"," burlesque entertainer and Actress"
"Lee Van Cleef","1925-1-9"," Actor (For a Few Dollars More and Escape from NY)"
"Bart Starr","1934-1-9"," NFL quarterback and coach (Green Bay)"
"Joan Baez","1941-1-9"," folk singer and human rights advocate in Staten Island"
"Susannah York","1941-1-9"," Actress (A Man for All Seasons and Tom Jones) in London"
"Crystal Gale","1951-1-9"," in Kentucky"
"Rosalyn Kind","1951-1-9"," singer in Bkln"
"Ethan Allen","1738-1-10"," Revolutionary War fighter (lead the Green Mtn Boys)"
"Frederick Gardner Cottrell","1877-1-10"," invented elecrostatic precipitator"
"Manuel Azasa y Diaz","1880-1-10"," P.M. and president of 2nd Spanish republic"
"Florence Reed","1883-1-10"," silent film Actress (The Dancing Girl)"
"Francis X. Bushman","1883-1-10"," silent film Actor (The Spy's Defeat)"
"Robinson Jeffers","1887-1-10"," American poet and playwright (Tamar & Other Poems)"
"Grock","1888-1-10"," Swiss clown"
"Ray Bolger","1904-1-10"," dancer and Actor (Once in Love with Amy and Wizard of Oz)"
"Galina Ulanova","1910-1-10"," Russian ballerina"
"June Haver","1926-1-10","June Haver"
"Gisele MacKenzie","1927-1-10"," in Winnipeg Manitoba"
"Johnnie Ray","1927-1-10"," pop singer"
"Willie McCovey","1938-1-10"," baseball player"
"Rod Stewart","1945-1-10"," singer"
"George Foreman","1949-1-10"," world heavyweight boxing champ (1973-74)"
"Pat Benatar","1953-1-10"," in Brooklyn--Hell is for Children"
"Alexander Hamilton","1755-1-11"," 1st Sec of US Treasury"
"Ezra Cornell","1807-1-11"," founded Western Union Telegraph & Cornell University"
"Sir John A. MacDonald","1815-1-11"," (C)--1st prime minister of Canada (1867-73)"
"Eugenio Maria de Hostos","1839-1-11"," Puerto Rican patriot and scholar"
"William James","1842-1-11"," American psychologist and philosopher"
"Philipp la Renotiere von Ferrary","1850-1-11"," famous philatelist"
"Alice Paul","1885-1-11"," founder of National Woman's Party and ERA advocate"
"Eva Le Gallienne","1896-1-11"," Actress"
"Paddy Driscoll","1896-1-11"," NFL quarterback and coach (Chic Cardinals and Bears)"
"Alan Paton","1903-1-11"," South African writer (Cry and the Beloved Country)"
"Albert Hofmann","1906-1-11"," Swiss chemist and discoverer of LSD"
"Grant Tinker","1926-1-11"," broadcasting executive"
"Lev S. Demin","1926-1-11"," Soviet cosmonaut (Soyuz 15)"
"Rod Taylor","1930-1-11"," Actor"
"Madeline Manning","1948-1-11"," runner"
"Rosenkowitz sextuplets","1974-1-11"," (1st known to have survived infancy)"
"John Winthrop","1588-1-12"," 1st gov of Mass Bay Colony"
"Edmund Burke","1729-1-12"," famous Whig"
"John Hancock","1737-1-12"," Decl of Ind signer (or 0123)"
"John Singer Sargent","1856-1-12"," American painter"
"Jack London","1876-1-12"," writer (Call of the Wild)"
"Luise Rainer","1910-1-12"," Actress"
"Edward Gurney","1913-1-12"," senator"
"James Farmer","1920-1-12"," black activist"
"Ray Price","1926-1-12"," country singer"
"Glenn Yarborough","1930-1-12"," singer"
"Salmon P. Chase (R)","1808-1-13"," senator and cabinet member and 6th chief justice"
